,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
62,배송은 느렸지만 아이가 궁금해해서 구매했어요 기본보다는 치즈가 더 맛있네요,4,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 4인취학자녀 가정,평범해요,아주 넉넉해요,꼼꼼해요
63,정말 떡에서 떡볶이 맛이 나네요ㅋ 아이들이 주문해달라고해서 시켯는데 맛잇어요!ㅋ,5,2024.02.28.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
64,정말 떡에서 떡볶이 맛이 나네요ㅋ 아이들이 주문해달라고해서 시켯는데 맛잇어요!ㅋ,5,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
65,"너무 만족해서 재구매 예정입니다 진짜 맛있어요
아이들이 너무 좋아해요",5,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
66,안의 치즈가 떡과 일치된 질감이라 잘 어울리네요,5,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
67,아이가 간식으로 주문해달라고 해서 사봤는데 맛있다네요,5,2024.02.28.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,적당해요,맛있어요
68,떡볶이맛 가래떡이라길래 사봤는데 생각보다 두개먹으니 배부르고 매콤하니 맛있어용 :) 배는 많이 안고픈데 떡볶이 땡길때 먹기 좋은 간식용!,5,2024.02.27.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
69,쫄깃쫄깃하고 너무 맛있어요,5,2024.02.27.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
70,딸이 먹고 싶다길래 샀습니다. 딱 생각한 맛 그대로입니다. ^^,3,2024.02.27.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 4인취학자녀 가정,평범해요,꽤 남았어요,꼼꼼해요
71,좀 매운데 맛있고 떡볶이 보다는 장떡의 느낌이 커요!,5,2024.02.25.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
72,너무 맛있어서 재구매하려구요,5,2024.02.25.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
