,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
71,"날이 더워지니 음료수를 자주 찾게 되는거 같아요
회사비품용 구매에요. 배송도 빠르고 좋아요",5,2023.06.27.,구매품: 롯데-이프로복숭아240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
72,날이 더워지니 이온음료를 찾게 되죠~  회사 비품 구매에요. 배송도 빠르고 좋아요,5,2023.06.27.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
73,빠른배송에 제품도 좋아요 재구매예정입니다~,5,2023.06.26.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
74,빠른배송에 제품도 좋아요 재구매예정입니다~,5,2023.06.26.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
75,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
76,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 롯데-실론티240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
77,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
78,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
79,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
80,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 롯데-이프로복숭아240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
81,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
82,매년 구매하고있는데 좋아요,5,2023.06.23.,구매품: 롯데-이프로복숭아240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
83,매번 재구매중입니다.,5,2023.06.21.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
84,맛도 좋고 가격도 저렴해서 좋았습니다~!,5,2023.06.20.,구매품: 코카-파워에이드340㎖(24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
85,맛도 좋고 가격도 저렴해서 좋았습니다~!,5,2023.06.20.,구매품: 코카-토레타340㎖(뚱24캔),,아주 넉넉해요,꼼꼼해요,맛있어요
86,직원 분 들 음료로 구입합니다. 유통기한두 아주 넉넉 하구영,5,2023.06.20.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
87,직원 분 들 음료로 저렴하게 샀어요! 유통기한 길어서 좋아요,5,2023.06.20.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
88,빠른배송 감사합니다~,5,2023.06.19.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
89,항상 여기서만 재구매,5,2023.06.19.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
90,적극추천합니다...,5,2023.06.19.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
91,"제품 좋습니다
포장도 적합한 것 같고 가격도 좋아요",5,2023.06.18.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
92,"계속 주문중입니다
저렴하게 판매해주셔서 감사합니다",5,2023.06.18.,구매품: 롯데-이프로복숭아240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
93,"유통기한 좋고 여기가 제일 저렴한 것 같아요
잘 먹고 있습니다!",5,2023.06.18.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
94,빠른 배송 감사합니다,5,2023.06.16.,구매품: 동아-포카리스웨트240㎖(30캔),,꽤 남았어요,적당해요,맛있어요
95,잘 사용했습니다~~!!!,5,2023.06.15.,구매품: 코카-토레타240㎖(30캔),,평범해요,꽤 남았어요,적당해요
96,아주좋습니다 만족합니다.,5,2023.06.15.,구매품: 동아-포카리스웨트240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
97,차에 두고 잘마실게요,5,2023.06.15.,구매품: 코카-파워에이드240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
98,차에 두고 잘마실게요,5,2023.06.15.,구매품: 코카-토레타240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
99,잘받았습니다~~!!,5,2023.06.15.,구매품: 롯데-게토레이레몬향240㎖(30캔),,아주 넉넉해요,꼼꼼해요,맛있어요
